"Name","SamAccountName","UserPrincipalName","Department","DistinguishedName"
"Adam Nowak","anowak","anowak@contosowarsaw.com",,"CN=Adam Nowak,OU=Finance,OU=Departments,OU=Company,DC=contosowarsaw,DC=com"
"Agnieszka Sikora","asikora","asikora@contosowarsaw.com","Marketing","CN=Agnieszka Sikora,OU=Marketing,OU=Departments,OU=Company,DC=contosowarsaw,DC=com"
"Alice Green","agreen","agreen@contosowarsaw.com",,"CN=Alice Green,OU=Sandbox_HR,OU=SandboxOU,DC=contosowarsaw,DC=com"
"Andrzej Dąbrowski","adabrowski","adabrowski@contosowarsaw.com","Sales","CN=Andrzej Dąbrowski,OU=Sales,OU=Departments,OU=Company,DC=contosowarsaw,DC=com"
"Anna Mazur","amazur","amazur@contosowarsaw.com","HR","CN=Anna Mazur,OU=HR,OU=Departments,OU=Company,DC=contosowarsaw,DC=com"
"Anna Nowak","anowak01","anowak01@contosowarsaw.com",,"CN=Anna Nowak,OU=HR,OU=Departments,OU=Company,DC=contosowarsaw,DC=com"
"Beata Stępień","bstepien","bstepien@contosowarsaw.com","Sales","CN=Beata Stępień,OU=Sales,OU=Departments,OU=Company,DC=contosowarsaw,DC=com"
"Bob White","bwhite","bwhite@contosowarsaw.com",,"CN=Bob White,OU=Sandbox_HR,OU=SandboxOU,DC=contosowarsaw,DC=com"
"Ewa Wiśniewska","ewisniewska","ewisniewska@contosowarsaw.com","IT","CN=Ewa Wiśniewska,OU=IT,OU=Departments,OU=Company,DC=contosowarsaw,DC=com"
"Jan Nowac","jnowac","jnowac@contosowarsaw.com",,"CN=Jan Nowac,OU=IT,OU=Departments,OU=Company,DC=contosowarsaw,DC=com"
"Jan Wójcik","jwojcik","jwojcik@contosowarsaw.com","Finance","CN=Jan Wójcik,OU=Finance,OU=Departments,OU=Company,DC=contosowarsaw,DC=com"
"Joanna Dudek","jdudek","jdudek@contosowarsaw.com","Marketing","CN=Joanna Dudek,OU=Marketing,OU=Departments,OU=Company,DC=contosowarsaw,DC=com"
"John Smith","jsmith","jsmith@contosowarsaw.com",,"CN=John Smith,OU=Sandbox_HR,OU=SandboxOU,DC=contosowarsaw,DC=com"
"Katarzyna Zając","kzajac","kzajac@contosowarsaw.com","Sales","CN=Katarzyna Zając,OU=Sales,OU=Departments,OU=Company,DC=contosowarsaw,DC=com"
"Krzysztof Woźniak","kwozniak","kwozniak@contosowarsaw.com","Sales","CN=Krzysztof Woźniak,OU=Sales,OU=Departments,OU=Company,DC=contosowarsaw,DC=com"
"Łukasz Adamczyk","ladamczyk","ladamczyk@contosowarsaw.com","Marketing","CN=Łukasz Adamczyk,OU=Marketing,OU=Departments,OU=Company,DC=contosowarsaw,DC=com"
"Magdalena Król","mkrol","mkrol@contosowarsaw.com","Sales","CN=Magdalena Król,OU=Sales,OU=Departments,OU=Company,DC=contosowarsaw,DC=com"
"Marek Kowalski","mkowalski","mkowalski@contosowarsaw.com","IT","CN=Marek Kowalski,OU=IT,OU=Departments,OU=Company,DC=contosowarsaw,DC=com"
"Maria Lewandowska","mlewandowska","mlewandowska@contosowarsaw.com","HR","CN=Maria Lewandowska,OU=HR,OU=Departments,OU=Company,DC=contosowarsaw,DC=com"
"Michał Pawlak","mpawlak","mpawlak@contosowarsaw.com","Marketing","CN=Michał Pawlak,OU=Marketing,OU=Departments,OU=Company,DC=contosowarsaw,DC=com"
"Paweł Kwiatkowski","akwiatkowski","pkwiatkowski@contosowarsaw.com","Sales","CN=Paweł Kwiatkowski,OU=Sales,OU=Departments,OU=Company,DC=contosowarsaw,DC=com"
"Piotr Kaczmarek","akaczmarek","akaczmarek@contosowarsaw.com","HR","CN=Piotr Kaczmarek,OU=HR,OU=Departments,OU=Company,DC=contosowarsaw,DC=com"
"Piotr Kowalski","pkowalski","pkowalski@contosowarsaw.com",,"CN=Piotr Kowalski,OU=HR,OU=Departments,OU=Company,DC=contosowarsaw,DC=com"
"Robert Walczak","rwalczak","rwalczak@contosowarsaw.com","Marketing","CN=Robert Walczak,OU=Marketing,OU=Departments,OU=Company,DC=contosowarsaw,DC=com"
"TestUser 06","tuser06","tuser06@contosowarsaw.com",,"CN=TestUser 06,OU=SandboxOU,DC=contosowarsaw,DC=com"
"TestUser 07","tuser07","tuser07@contosowarsaw.com",,"CN=TestUser 07,OU=SandboxOU,DC=contosowarsaw,DC=com"
"TestUser 08","tuser08","tuser08@contosowarsaw.com",,"CN=TestUser 08,OU=SandboxOU,DC=contosowarsaw,DC=com"
"TestUser tuser04","tuser04",,,"CN=TestUser tuser04,OU=SandboxOU,DC=contosowarsaw,DC=com"
"TestUser tuser05","tuser05",,,"CN=TestUser tuser05,OU=SandboxOU,DC=contosowarsaw,DC=com"
"Tomasz Testowy","ttestowy",,,"CN=Tomasz Testowy,OU=SandboxOU,DC=contosowarsaw,DC=com"
"Tomasz Zieliński","zielinski","tzielinski@contosowarsaw.com","Finance","CN=Tomasz Zieliński,OU=Finance,OU=Departments,OU=Company,DC=contosowarsaw,DC=com"
"Zofia Kamińska","zkaminska","zkaminska@contosowarsaw.com","Finance","CN=Zofia Kamińska,OU=Finance,OU=Departments,OU=Company,DC=contosowarsaw,DC=com"
